"vote","black","hisp","pid7","income","age","educ_attain"
0,1,0,1,16,50,4
1,0,0,7,13,59,2
1,0,0,6,6,79,2
0,1,0,1,12,76,4
1,0,0,7,28,48,4
0,0,0,1,5,66,3
1,0,0,7,28,54,3
1,0,0,6,8,26,3
1,0,0,5,1,66,4
0,0,1,1,16,42,3
0,0,1,2,13,33,4
1,0,0,6,6,21,1
1,0,0,5,22,47,3
0,0,0,2,20,52,3
0,0,1,3,21,35,4
1,0,0,5,28,55,3
0,0,0,3,14,61,4
0,0,0,4,7,36,3
0,0,0,1,13,72,1
0,0,0,3,3,80,3
0,0,1,1,18,52,3
1,0,1,5,7,21,2
1,0,0,6,4,55,1
0,0,0,2,26,47,5
1,0,0,7,1,85,4
0,0,0,1,1,73,3
0,0,0,3,20,27,3
1,0,0,2,11,41,2
1,0,0,6,24,27,4
1,0,0,7,19,66,5
1,0,0,7,21,51,3
1,0,0,5,24,34,3
1,0,0,7,12,80,4
1,0,0,5,3,26,2
1,0,0,5,12,48,2
1,0,0,5,24,35,4
1,0,0,5,15,76,3
1,0,0,7,19,48,5
0,0,1,1,9,67,4
1,0,0,7,25,27,4
1,0,0,5,25,71,3
0,0,0,2,25,36,5
0,0,0,1,21,35,4
0,0,0,2,12,66,4
1,0,0,7,23,49,4
0,0,1,2,20,68,2
1,0,1,7,12,63,3
0,0,0,1,23,71,5
0,1,0,3,19,55,2
1,0,0,7,22,69,4
0,1,0,3,5,26,3
1,0,0,7,1,66,2
1,0,0,5,17,74,4
0,0,0,3,21,40,4
1,0,0,5,19,49,2
1,0,0,7,22,59,3
0,0,0,2,26,42,5
1,0,0,6,24,71,3
0,0,0,4,3,73,3
1,0,0,7,1,83,2
1,0,0,7,11,40,3
1,0,0,6,9,56,5
0,1,0,2,7,43,4
0,0,0,1,25,46,5
1,0,0,6,20,21,2
1,0,0,7,12,74,3
0,1,0,4,19,61,3
0,1,0,2,15,67,4
0,1,0,3,3,65,2
1,0,0,5,2,66,2
0,0,1,4,27,54,4
0,0,0,1,15,45,3
0,0,1,3,27,40,4
0,0,1,4,1,34,3
1,0,1,7,24,71,5
0,0,0,4,19,34,3
1,0,0,5,13,68,3
1,0,0,5,11,76,2
0,0,0,1,19,69,5
1,0,0,6,15,68,3
1,0,0,7,28,64,4
1,0,0,7,22,52,3
1,0,0,7,26,53,4
1,0,0,5,12,26,4
0,0,0,5,11,37,2
0,0,0,3,25,74,5
1,0,1,6,13,21,3
1,0,0,7,21,42,3
1,0,0,7,23,50,3
1,0,0,7,20,45,3
1,0,0,5,20,60,3
1,0,0,7,24,53,4
0,0,0,2,14,29,4
0,0,0,1,19,53,3
0,1,0,1,11,32,4
1,0,0,7,27,77,4
0,0,0,4,21,26,2
1,0,0,7,13,29,4
1,0,0,5,5,62,3
0,1,0,1,17,50,3
0,0,0,3,23,42,5
1,0,0,7,22,53,4
0,0,0,2,23,65,4
1,0,0,7,21,38,4
1,0,0,6,9,71,4
1,0,0,7,27,51,5
1,0,0,6,22,34,2
1,0,0,7,13,53,3
0,1,0,1,13,56,3
0,1,0,1,9,27,3
0,0,1,1,9,66,3
1,0,0,2,1,70,3
0,0,0,3,20,79,5
0,0,1,1,2,63,1
0,0,1,1,7,54,1
0,0,0,2,12,23,4
0,1,0,1,26,46,3
1,0,1,5,21,33,4
1,0,0,5,7,78,3
0,0,0,1,9,70,2
0,0,0,1,23,55,5
0,0,1,5,19,28,1
1,0,0,7,11,80,3
0,1,0,1,22,60,4
1,0,0,7,26,80,5
1,0,0,5,1,58,3
1,0,0,7,9,23,2
0,0,0,3,21,26,3
0,0,1,1,21,45,3
1,0,0,7,3,29,1
0,0,0,3,7,25,3
0,1,0,1,18,67,3
0,0,0,3,24,36,4
1,0,0,7,1,24,3
1,0,1,6,18,52,3
0,0,0,3,1,23,2
0,1,0,3,7,29,2
0,0,0,3,15,46,3
0,0,1,3,3,68,3
1,0,0,7,22,39,3
0,0,0,2,11,34,4
1,0,0,5,22,65,5
0,1,0,2,7,31,3
1,0,0,7,9,65,3
1,0,0,7,19,45,3
0,0,0,3,19,57,3
0,0,0,3,26,43,4
0,0,0,2,13,26,4
0,0,0,1,26,43,4
0,0,1,1,11,54,1
1,0,0,5,22,45,4
1,0,0,7,20,57,2
0,0,0,1,5,23,3
0,1,0,1,18,60,3
1,0,0,5,5,75,1
0,0,0,2,7,64,4
1,0,0,7,7,49,4
0,0,0,2,26,29,5
1,0,0,5,9,49,3
0,1,0,2,13,39,2
1,0,0,6,7,62,3
0,1,0,1,12,57,3
0,1,0,1,4,24,4
0,1,0,1,7,66,2
0,0,0,1,17,58,3
1,0,0,5,22,59,3
0,1,0,1,26,34,3
1,0,0,5,23,44,4
1,0,0,6,13,24,4
0,1,0,1,25,51,5
1,0,0,5,19,62,3
0,0,0,3,23,36,5
0,0,0,2,9,34,2
0,0,0,1,26,51,5
1,0,0,6,8,53,3
1,0,0,5,25,63,3
0,1,0,2,21,53,1
0,0,0,1,7,38,5
0,0,1,1,22,42,3
1,0,0,4,1,45,2
1,0,0,2,2,41,1
0,0,0,1,27,51,4
1,0,0,7,13,60,4
0,0,0,4,21,85,2
1,0,0,6,12,56,1
0,0,1,2,14,28,5
1,0,0,2,15,52,3
1,0,0,6,3,79,5
0,0,0,1,17,48,4
0,1,0,3,13,62,3
1,0,0,7,19,65,3
0,0,0,2,27,52,4
1,0,0,7,19,48,3
0,0,0,2,5,87,2
1,0,0,5,20,75,5
1,0,0,5,20,39,3
0,0,0,4,7,26,2
0,0,0,1,28,34,5
1,0,0,5,14,70,5
0,0,0,1,14,68,5
0,0,0,2,16,53,3
0,0,0,1,24,35,2
0,0,1,1,15,57,2
1,0,0,5,12,75,2
1,0,0,7,22,57,4
0,0,0,3,21,48,3
1,0,0,7,28,87,5
1,0,0,1,2,66,2
0,0,0,3,26,36,4
0,0,0,3,28,37,5
1,0,0,3,26,54,5
1,0,1,7,23,35,2
1,0,0,7,1,72,1
1,0,0,5,21,82,5
0,0,0,1,25,59,4
0,0,1,1,2,31,3
1,0,0,6,21,43,3
0,0,0,1,26,51,4
1,0,0,4,14,31,1
0,1,0,2,9,43,3
1,0,0,4,15,54,2
0,0,0,1,22,37,4
1,0,0,7,2,68,5
0,0,1,3,13,67,4
1,0,0,6,23,50,5
0,1,0,2,24,37,5
0,0,0,3,3,74,4
1,0,0,7,23,66,4
1,0,1,5,17,47,2
1,0,0,5,13,38,2
0,0,0,2,8,68,1
1,0,0,5,14,31,3
1,0,0,2,24,30,3
0,1,0,3,15,30,3
1,0,0,7,26,46,4
1,0,0,7,12,59,2
1,0,0,7,25,57,3
0,0,0,1,14,67,5
0,1,0,1,7,40,3
0,0,0,1,4,37,3
0,0,0,2,24,77,5
1,0,0,5,17,47,3
0,0,0,1,1,75,2
0,0,0,1,25,71,5
1,0,0,5,9,61,2
0,0,0,1,19,27,3
0,1,0,4,1,38,3
0,0,0,1,21,39,4
1,0,0,7,7,74,3
0,0,0,1,21,63,3
1,0,0,6,22,18,1
1,0,1,7,21,66,3
0,1,0,1,2,89,1
1,0,0,7,19,55,5
0,1,0,3,27,47,5
1,0,0,2,14,66,1
1,0,0,4,5,37,3
1,0,0,7,13,83,5
1,0,0,7,11,22,3
1,0,0,7,17,42,3
0,1,0,1,15,27,5
0,0,0,1,8,79,3
0,0,0,1,15,30,5
0,0,1,2,12,55,2
0,1,0,1,4,22,2
0,1,0,1,1,66,2
1,0,0,5,24,46,2
1,0,0,7,15,35,5
0,0,0,2,28,23,3
1,0,0,7,4,26,2
0,0,0,3,23,51,5
1,0,0,6,25,75,2
0,0,0,1,17,67,3
1,0,0,6,15,49,2
0,0,0,1,11,75,3
1,0,0,7,11,25,3
